Interval,Transfer,Bandwidth
649,3.88,32.5
650,3.88,32.5
651,3.12,26.2
652,4.25,35.7
653,3.88,32.5
654,3.88,32.5
655,3.88,32.5
656,3.88,32.5
657,3.62,30.4
658,3.88,32.5
659,4,33.6
660,3,25.2
661,3.88,32.5
662,3.75,31.5
663,3.88,32.5
664,3.88,32.5
665,3.88,32.5
666,3.88,32.5
667,3.62,30.4
668,3.88,32.5
669,3.88,32.5
670,3.88,32.5
671,3.88,32.5
672,3.12,26.2
673,4.12,34.6
674,3.88,32.5
675,3.38,28.3
676,3.88,32.5
677,3.88,32.5
678,3.88,32.5
679,3.88,32.5
680,3.88,32.5
681,3.88,32.5
682,3.88,32.5
683,3.62,30.4
684,3.88,32.5
685,3.88,32.5
686,3.88,32.5
687,3.12,26.2
688,3.88,32.5
689,3.88,32.5
690,3.88,32.5
691,3.88,32.5
692,3.88,32.5
693,3.88,32.5
694,3.62,30.4
695,3.88,32.5
696,3.25,27.3
697,3.88,32.5
698,3.88,32.5
699,3.88,32.5
700,3.88,32.5
701,4.12,34.6
702,3.12,26.2
703,3.88,32.5
704,3.88,32.5
705,3.88,32.5
706,3.88,32.5
707,3.88,32.5
708,4,33.6
709,3.88,32.5
710,3,25.2
711,4,33.6
712,3.62,30.4
713,3.88,32.5
714,3.88,32.5
715,3.88,32.5
716,3.88,32.5
717,3.62,30.4
718,3.88,32.5
719,3.88,32.5
720,3.88,32.5
721,3.88,32.5
722,3.62,30.4
723,4,33.6
724,3.88,32.5
725,3,25.2
726,4,33.6
727,3.88,32.5
728,3.62,30.4
729,3.88,32.5
730,3.88,32.5
731,3.88,32.5
732,3.88,32.5
733,3.62,30.4
734,3.88,32.5
735,3.88,32.5
736,3.88,32.5
737,3.88,32.5
738,3.75,31.5
739,3.88,32.5
740,3.12,26.2
741,3.88,32.5
742,3.88,32.5
743,3.88,32.5
744,3.88,32.5
745,3.88,32.5
746,3.5,29.4
747,3.88,32.5
748,3.88,32.5
749,3.88,32.5
750,3.88,32.5
751,3.12,26.2
752,3.88,32.5
753,3.88,32.5
754,4.38,36.7
755,3.12,26.2
756,3.88,32.5
757,3.88,32.5
758,3.88,32.5
759,3.88,32.5
760,3.88,32.5
761,3.88,32.5
762,3.62,30.4
763,3.88,32.5
764,3.88,32.5
765,3.88,32.5
766,3.12,26.2
767,3.88,32.5
768,3.88,32.5
769,3.88,32.5
770,3.88,32.5
771,3.88,32.5
772,3.12,26.2
773,4.38,36.7
774,3.88,32.5
775,3.88,32.5
776,3.88,32.5
777,3.12,26.2
778,4.38,36.7
779,3.12,26.2
780,3.88,32.5
781,3.88,32.5
782,3.88,32.5
783,3.62,30.4
784,3.88,32.5
785,3.88,32.5
786,4,33.6
787,3.88,32.5
788,3.62,30.4
789,3.88,32.5
790,3.88,32.5
791,3.88,32.5
792,3.12,26.2
793,3.88,32.5
794,3.88,32.5
795,3.88,32.5
796,3.5,29.4
797,3.88,32.5
798,3.88,32.5
799,4,33.6
800,3.88,32.5
801,3.88,32.5
802,3.88,32.5
